sample	samples	NTN1	NTN3	NTN4	NTN5	NTNG1	NTNG2	DSCAM	DCC	UNC5A	UNC5B	UNC5C	UNC5D	cancer type abbreviation	sample_type
TCGA-F5-6812-01	TCGA-F5-6812-01	7.24	0	8.05	2.94	3.93	5.5	0.96	1.94	3.93	9.52	2.74	1.28	READ	Primary Tumor
TCGA-D7-6519-01	TCGA-D7-6519-01	7.24	-0.82	9.44	3.38	3.73	4.32	0.22	1.13	3.94	11.23	4.25	0.1	STAD	Primary Tumor
TCGA-A2-A4S2-01	TCGA-A2-A4S2-01	7.23	1.79	12.23	2.89	4.37	4.93	0.58	0.58	7.7	12.21	4.86	0	BRCA	Primary Tumor
TCGA-BH-A0BJ-01	TCGA-BH-A0BJ-01	7.23	1.28	12.26	1.66	6.04	3.64	0.78	1.05	6.59	11.04	5.9	0.44	BRCA	Primary Tumor
TCGA-AR-A0TZ-01	TCGA-AR-A0TZ-01	7.23	0.97	9.79	3.15	2.12	4.26	0.97	0.56	6.05	10.32	4.55	0	BRCA	Primary Tumor
TCGA-EM-A3FP-01	TCGA-EM-A3FP-01	7.23	0.48	7.46	3.09	0.84	3.09	0.84	0.48	1.57	9.93	6.16	0.84	THCA	Primary Tumor
TCGA-A3-3387-11	TCGA-A3-3387-11	7.23	0	12.11	1.76	8.34	4.19	0	2.27	0.97	9.34	5.57	6.24	KIRC	Solid Tissue Normal
TCGA-G9-6354-01	TCGA-G9-6354-01	7.23	0	9.92	3.07	6.78	8.05	0	0.65	4.39	7.29	2.86	4.42	PRAD	Primary Tumor
TCGA-EL-A3GU-01	TCGA-EL-A3GU-01	7.23	0	9.07	2.39	2.99	4.57	2.03	0.47	3.24	10.85	8.7	3.36	THCA	Primary Tumor
TCGA-ET-A3BX-01	TCGA-ET-A3BX-01	7.23	0	8.74	0.99	0.41	3.83	0.41	0	1.73	9.35	8.32	1.99	THCA	Primary Tumor
TCGA-CM-6165-01	TCGA-CM-6165-01	7.23	0	8.37	1.31	0.58	4.62	2.3	0.58	1.98	10.31	3.44	0.58	COAD	Primary Tumor
TCGA-PL-A8LX-01	TCGA-PL-A8LX-01	7.23	0	8.14	4.27	0	3.65	0	0	9.81	10.47	7.58	0	BRCA	Primary Tumor
TCGA-A6-6654-01	TCGA-A6-6654-01	7.23	0	7.96	0.94	2.07	6.06	0	0.54	4.64	10.96	5.58	1.25	COAD	Primary Tumor
TCGA-QK-A6IH-01	TCGA-QK-A6IH-01	7.23	0	6.95	1.14	1.14	3.42	3.71	0	3.5	9.58	0	0	HNSC	Primary Tumor
TCGA-IN-A6RS-01	TCGA-IN-A6RS-01	7.23	-1.68	8.96	0.74	-0.34	3.42	1.72	-0.02	1.87	9.21	-0.3	-0.39	STAD	Primary Tumor
TCGA-VQ-A8DT-01	TCGA-VQ-A8DT-01	7.23	-1.68	8.93	1.41	1.16	2.6	0.8	0.77	1.86	8.35	3.94	1.94	STAD	Primary Tumor
TCGA-H2-A3RI-11	TCGA-H2-A3RI-11	7.22	1.51	8.18	2.9	0.94	3.43	1.79	0.69	3.73	8.17	8.21	6.01	THCA	Solid Tissue Normal
TCGA-CV-7178-01	TCGA-CV-7178-01	7.22	1.41	7.31	1.58	1	4.6	2.87	2.31	2.41	11	6.36	0.41	HNSC	Primary Tumor
TCGA-HC-7213-01	TCGA-HC-7213-01	7.22	1.28	10.67	2.74	7.81	5.53	0	0	2.58	9.42	3.96	9.77	PRAD	Primary Tumor
TCGA-BH-A1ES-01	TCGA-BH-A1ES-01	7.22	0.86	9.09	3.44	2.75	4.68	2.57	0.86	2.92	10.97	6.06	2.75	BRCA	Primary Tumor
TCGA-CJ-4923-01	TCGA-CJ-4923-01	7.22	0.85	9.87	3.84	5.45	5.96	2.64	1.59	6.18	11.74	4.7	3.04	KIRC	Primary Tumor
TCGA-E2-A10F-01	TCGA-E2-A10F-01	7.22	0.79	11.84	2.52	1.49	5.06	0.45	1.06	4.29	11.31	5.22	0.45	BRCA	Primary Tumor
TCGA-C5-A1BF-01	TCGA-C5-A1BF-01	7.22	0.78	10.72	2.9	4.13	5.19	2.67	0.78	5.54	10.76	3.21	0	CESC	Primary Tumor
TCGA-EJ-7786-01	TCGA-EJ-7786-01	7.22	0.78	9.48	3.25	6.52	7.3	0.44	2.58	9.08	8.44	6.08	9.13	PRAD	Primary Tumor
TCGA-YL-A8SH-01	TCGA-YL-A8SH-01	7.22	0.61	9.99	5.77	5.21	6.29	0.61	0.61	5.57	8.42	3.88	7.12	PRAD	Primary Tumor
TCGA-BA-4076-01	TCGA-BA-4076-01	7.22	0.61	8.55	3.38	0	2.22	4.2	0	5.86	10.65	2.52	0	HNSC	Primary Tumor
TCGA-EJ-A7NM-01	TCGA-EJ-A7NM-01	7.22	0.47	10.44	6.14	6.98	5.98	0.83	0	3.71	9.32	4.02	4.93	PRAD	Primary Tumor
TCGA-13-1403-01	TCGA-13-1403-01	7.22	0.44	8.64	4.37	3.64	3.19	-0.27	0.54	3.52	10.44	2.37	-0.39	OV	Primary Tumor
TCGA-AQ-A1H3-01	TCGA-AQ-A1H3-01	7.22	0.36	11.39	1.57	6.59	4.2	1.93	1.82	6.74	10.4	5.29	0	BRCA	Primary Tumor
TCGA-X4-A8KQ-01	TCGA-X4-A8KQ-01	7.22	0	11.22	4.92	8.62	7.21	4.52	0	3.19	9.05	4.11	7.25	PRAD	Primary Tumor
TCGA-DK-A1A5-01	TCGA-DK-A1A5-01	7.22	0	9.62	2.61	2.27	6.1	0	0.71	1.82	10.05	4.18	0	BLCA	Primary Tumor
TCGA-30-1891-01	TCGA-30-1891-01	7.22	-0.02	9.77	1.57	7.34	5.45	-0.27	-0.02	8.82	11.22	3.85	0.67	OV	Primary Tumor
TCGA-FS-A1ZK-06	TCGA-FS-A1ZK-06	7.21	4.8	4.95	0.66	2.58	2.26	1.12	0.37	1.3	8.35	2.89	1.97	SKCM	Metastatic
TCGA-DX-A3U7-01	TCGA-DX-A3U7-01	7.21	3.53	9.65	0	0.94	3.35	0.94	0.94	4.44	9.52	6.57	0	SARC	Primary Tumor
TCGA-DX-A8BU-01	TCGA-DX-A8BU-01	7.21	3.3	8.92	1.42	5.47	4.78	6.18	0	5.42	10.75	8.23	0.51	SARC	Primary Tumor
TCGA-EB-A5UN-06	TCGA-EB-A5UN-06	7.21	2.44	3.84	2.04	0.92	5.02	0	0	1.87	7.39	2.19	0.92	SKCM	Metastatic
TCGA-22-4593-11	TCGA-22-4593-11	7.21	1.03	11.03	1.2	6.47	5.32	0.6	4.67	4.67	10.22	6.27	1.49	LUSC	Solid Tissue Normal
TCGA-EY-A215-01	TCGA-EY-A215-01	7.21	0.82	5.17	5.71	1.82	3.55			5.28	9.79	5.21	1.99	UCEC	Primary Tumor
TCGA-BP-5201-01	TCGA-BP-5201-01	7.21	0.47	11.38	3.52	0	5.42	2.69	1.89	5.49	10.92	2.85	3	KIRC	Primary Tumor
TCGA-A8-A0A6-01	TCGA-A8-A0A6-01	7.21	0	12.95	2.66	2.88	4.51	1.87	1.38	9.09	10.21	5.97	0	BRCA	Primary Tumor
TCGA-55-6979-11	TCGA-55-6979-11	7.21	0	11.93	3.24	6.5	4.07	2.39	4.32	2.88	9.66	4.98	0	LUAD	Solid Tissue Normal
TCGA-CV-A465-01	TCGA-CV-A465-01	7.21	0	5.77	1.61	1.35	4.9	6.03	1.35	5.38	11.02	1.61	0.6	HNSC	Primary Tumor
TCGA-HD-A6I0-01	TCGA-HD-A6I0-01	7.21	0	5.14	1.46	1.86	4.47	5.52	0	1.46	9.05	1.46	0	HNSC	Primary Tumor
TCGA-05-4244-01	TCGA-05-4244-01	7.2	3.48	10.06	2.72	3	3.33	2.86	2.17	2.38	9.23	3.52	1.26	LUAD	Primary Tumor
TCGA-3B-A9HQ-01	TCGA-3B-A9HQ-01	7.2	3.41	7.13	2.48	5.07	7.4	3.11	0	3.83	8.55	7.61	0	SARC	Primary Tumor
TCGA-DD-A4NL-01	TCGA-DD-A4NL-01	7.2	3.03	8.65	3.03	0	3.35	1.6	0	3.03	8.18	2.35	0	LIHC	Primary Tumor
TCGA-BF-A5ES-01	TCGA-BF-A5ES-01	7.2	2.63	2.88	3.09	3.78	7.16	0	0	1.73	9.03	1.45	0	SKCM	Primary Tumor
TCGA-D3-A3CF-06	TCGA-D3-A3CF-06	7.2	2.31	5.23	0.38	3.43	4.93	0.38	1.33	2.89	8.73	2.94	0	SKCM	Metastatic
TCGA-55-6968-11	TCGA-55-6968-11	7.2	2.06	12.24	0.84	6.25	4.43	2.88	6.1	4.27	10.34	3.39	0	LUAD	Solid Tissue Normal
TCGA-XK-AAJP-01	TCGA-XK-AAJP-01	7.2	1.81	9.24	3.91	10.53	4.59	1.06	0	11.64	8.76	2.97	2.83	PRAD	Primary Tumor
TCGA-EE-A29C-06	TCGA-EE-A29C-06	7.2	1.68	6.27	0.64	0.64	5.29	0.64	0	3.78	9.46	2.71	0	SKCM	Metastatic
TCGA-OR-A5JR-01	TCGA-OR-A5JR-01	7.2	1.53	10.2	1.27	1.74	2.73	3.96	0.56	4.93	8.6	8.06	5	ACC	Primary Tumor
TCGA-44-2665-11	TCGA-44-2665-11	7.2	1.26	11.1	1.26	7.11	4.63	0.43	6.09	6.81	10.62	5.34	0	LUAD	Solid Tissue Normal
TCGA-CM-5863-01	TCGA-CM-5863-01	7.2	0.97	9.62	1.55	1.77	4.7	0.57	1.29	3.41	10.29	2.41	1.96	COAD	Primary Tumor
TCGA-DD-AADY-01	TCGA-DD-AADY-01	7.2	0.94	8.89	0	0	1.51	0	0	2.23	8.89	3.98	0	LIHC	Primary Tumor
TCGA-DQ-7588-01	TCGA-DQ-7588-01	7.2	0.89	8.39	1.82	0.51	2.6	6.78	0	5.89	9.5	0.89	0	HNSC	Primary Tumor
TCGA-A8-A09M-01	TCGA-A8-A09M-01	7.2	0.78	10.44	2.58	0	4.31	5.58	1.28	1.65	10.43	3.14	0	BRCA	Primary Tumor
TCGA-F5-6864-01	TCGA-F5-6864-01	7.2	0	8.43	1.09	4.26	5.36	0.81	0.46	3.49	10.21	3.39	1.87	READ	Primary Tumor
TCGA-BC-A112-01	TCGA-BC-A112-01	7.2	0	7.2	0.62	0	2.99	0	0.62	6.52	10.1	3.79	1.05	LIHC	Primary Tumor
TCGA-09-1666-01	TCGA-09-1666-01	7.2	-1.22	10.03	3.51	6.68	3.39	0.19	4.83	4	7.92	1.19	0.7	OV	Primary Tumor
TCGA-AB-2862-03	TCGA-AB-2862-03	7.19	3.57	1.94	4.35	1.23	12.15			0.22	6.74	-0.97		LAML	Primary Blood Derived Cancer - Peripheral Blood
TCGA-FU-A5XV-01	TCGA-FU-A5XV-01	7.19	1.46	9.07	3.73	1.46	2.43	0.53	0.53	1.21	12.2	0.91	0	CESC	Primary Tumor
TCGA-NJ-A55R-01	TCGA-NJ-A55R-01	7.19	1.42	8.43	3.56	1.66	5.39	1.14	4.67	8.15	10.24	4.85	7.67	LUAD	Primary Tumor
TCGA-EW-A1OV-01	TCGA-EW-A1OV-01	7.19	1.04	7.57	2.06	2.97	4.16	0	2.23	6.9	11.48	3.24	0.61	BRCA	Primary Tumor
TCGA-EJ-A7NN-01	TCGA-EJ-A7NN-01	7.19	0.51	9.97	5.29	7.07	5.64	0.51	1.84	7.91	8.64	4.04	8.85	PRAD	Primary Tumor
TCGA-AP-A1DH-01	TCGA-AP-A1DH-01	7.19	0.44	5.69	4.02	3.4	5.04			2.05	9.7	4.01	1.67	UCEC	Primary Tumor
TCGA-VQ-A8PX-01	TCGA-VQ-A8PX-01	7.19	0	9.39	1.42	1.77	3.79	0.53	2.42	2.8	8.69	3.85	0.41	STAD	Primary Tumor
TCGA-A6-2675-01	TCGA-A6-2675-01	7.19	0	8.66	1.06	2.79	5.77	0.62	0	2.9	10.6	4.72	2.08	COAD	Primary Tumor
TCGA-CM-6168-01	TCGA-CM-6168-01	7.19	0	8.55	1.64	2.6	5.46	1.43	1.64	3.58	10.77	4.81	1.98	COAD	Primary Tumor
TCGA-CV-A45O-01	TCGA-CV-A45O-01	7.19	0	7.39	3.32	1.7	3.09	4.73	1.7	1.32	12.11	0	0	HNSC	Primary Tumor
TCGA-DD-AAVW-01	TCGA-DD-AAVW-01	7.18	3.7	9.53	0.77	0.77	4.04	0	0	3.13	10.07	4.04	0	LIHC	Primary Tumor
TCGA-58-8387-01	TCGA-58-8387-01	7.18	2.21	6.69	3.17	1.67	4.31	0	4.87	1.67	9.16	2.91	1.29	LUSC	Primary Tumor
TCGA-HC-A48F-01	TCGA-HC-A48F-01	7.18	1.8	9.76	4.27	8.09	4.2	0.5	0.5	5.89	7.77	3.61	0	PRAD	Primary Tumor
TCGA-BH-A1FH-01	TCGA-BH-A1FH-01	7.18	1.35	12.11	3.74	0.95	3.99	1.66	4.8	7.65	10.47	7.94	1.66	BRCA	Primary Tumor
TCGA-KN-8431-11	TCGA-KN-8431-11	7.18	1.34	13.67	0.94	5.35	3.21	0	0	0.39	7.1	3.86	6.43	KICH	Solid Tissue Normal
TCGA-AC-A2QI-01	TCGA-AC-A2QI-01	7.18	0.4	11.49	1.69	3.21	5.98	1.37	0.97	6.65	11.76	5.98	0.71	BRCA	Primary Tumor
TCGA-EJ-7123-01	TCGA-EJ-7123-01	7.18	0.37	8.84	2.18	7.37	6.66	0.91	0.91	10.82	7.8	3.61	8.26	PRAD	Primary Tumor
TCGA-AO-A128-01	TCGA-AO-A128-01	7.18	0.35	10.38	4.18	1.99	4.86	0	0.63	8.13	12.07	4.56	0	BRCA	Primary Tumor
TCGA-BH-A0EE-01	TCGA-BH-A0EE-01	7.18	0	9.57	1.74	5.67	2.67	0.74	0	2.59	8.1	2	0	BRCA	Primary Tumor
TCGA-2G-AAFO-01	TCGA-2G-AAFO-01	7.18	0	8.66	2.54	6.61	5.53	2	1.49	4.65	10.77	2.38	5.24	TGCT	Primary Tumor
TCGA-ES-A2HS-01	TCGA-ES-A2HS-01	7.18	0	7.31	4.88	0	1.84	0	0	0.9	6.96	0	0	LIHC	Primary Tumor
TCGA-HF-7133-01	TCGA-HF-7133-01	7.18	-1.68	9.33	0.67	0.14	4.88	-0.27	1.73	7.84	10.62	5.9	1.36	STAD	Primary Tumor
TCGA-A4-A4ZT-11	TCGA-A4-A4ZT-11	7.17	2.32	13.16	3.49	4.43	3.34	0	1.1	2.32	8.04	3.76	6.17	KIRP	Solid Tissue Normal
TCGA-B6-A3ZX-01	TCGA-B6-A3ZX-01	7.17	1.99	7.42	3.45	4.4	5.78	2.65	0.73	4.86	10.75	6.11	0.41	BRCA	Primary Tumor
TCGA-AB-2911-03	TCGA-AB-2911-03	7.17	1.69	1.69	3.59	-0.34	7.64			4.91	4.17	-0.97		LAML	Primary Blood Derived Cancer - Peripheral Blood
TCGA-28-5218-01	TCGA-28-5218-01	7.17	1.55	5.8	3.66	4.67	3.13	7.06	0	4.04	11.68	5.14	4.63	GBM	Primary Tumor
TCGA-W4-A7U4-01	TCGA-W4-A7U4-01	7.17	1.38	8.16	0.49	7.55	3.42	0.49	2.08	7.93	11.44	2.44	7.89	TGCT	Primary Tumor
TCGA-B0-5709-01	TCGA-B0-5709-01	7.17	1.15	10.78	0.94	3.79	4.96	1.65	1.79	5.68	11.17	5.8	3.11	KIRC	Primary Tumor
TCGA-LK-A4O4-01	TCGA-LK-A4O4-01	7.17	1.07	10.4	1.91	5.93	5.28	1.07	6.16	4.17	8.88	4.13	1.4	MESO	Primary Tumor
TCGA-V1-A8ML-01	TCGA-V1-A8ML-01	7.17	1	9.41	5.05	10.37	6.09	0	0.59	7.08	8.46	4.17	7.74	PRAD	Primary Tumor
TCGA-FD-A6TB-01	TCGA-FD-A6TB-01	7.17	0.92	10.54	3.1	5.06	5.42	2.04	0.92	5.42	10.56	3.1	0	BLCA	Primary Tumor
TCGA-EI-6884-01	TCGA-EI-6884-01	7.17	0.92	8.34	0.92	0.53	4.17	1.23	1.48	2.05	9.79	5.09	2.33	READ	Primary Tumor
TCGA-XJ-A83G-01	TCGA-XJ-A83G-01	7.17	0	9.22	4.08	10.46	6.35	0	0	7.12	7.99	3.11	5.86	PRAD	Primary Tumor
TCGA-05-4396-01	TCGA-05-4396-01	7.17	0	8.69	3.1	2.26	6.51	0	1.71	6.56	9.6	2.97	0.81	LUAD	Primary Tumor
TCGA-CQ-A4CH-01	TCGA-CQ-A4CH-01	7.17	0	7.12	0.49	1.15	4.14	5.4	0.86	2.9	9.5	0.86	0	HNSC	Primary Tumor
TCGA-EB-A553-01	TCGA-EB-A553-01	7.17	0	5.38	4.31	2.79	4.51	0	0	3.16	8.5	0	1.57	SKCM	Primary Tumor
TCGA-EJ-A46G-01	TCGA-EJ-A46G-01	7.16	2.91	9.54	3.11	3.57	7.64	0.63	0	5.2	9.38	5.87	8.29	PRAD	Primary Tumor
TCGA-BH-A0E0-01	TCGA-BH-A0E0-01	7.16	1.15	9.16	1.15	0.69	5.21	1.15	0	5.16	9.53	0.69	0	BRCA	Primary Tumor
TCGA-DD-A1EH-01	TCGA-DD-A1EH-01	7.16	1.15	8.33	0.85	0	2.64	0	0.49	3.92	9.1	3.25	0	LIHC	Primary Tumor
TCGA-DD-A1ED-01	TCGA-DD-A1ED-01	7.16	1.13	9.74	2.52	1.13	2.79	1.99	0	2.19	7.43	1.47	0.67	LIHC	Primary Tumor
TCGA-2J-AABH-01	TCGA-2J-AABH-01	7.16	0.52	10.3	2.16	3.34	5.46	2.83	1.67	5.67	10.47	3.21	4.45	PAAD	Primary Tumor
TCGA-FD-A3NA-01	TCGA-FD-A3NA-01	7.16	0	9.52	2.93	3.73	5.37	1.22	0	1.87	10.02	1	0	BLCA	Primary Tumor
TCGA-DJ-A2PT-01	TCGA-DJ-A2PT-01	7.16	0	8.22	1.13	3.09	4.03	0.48	0	2.18	10.3	7.72	1.91	THCA	Primary Tumor
TCGA-ND-A4WF-01	TCGA-ND-A4WF-01	7.15	3.75	8.15	3.27	7.34	7.02	2.28	0.57	6.2	9.63	5.6	0.57	UCS	Primary Tumor
TCGA-97-A4LX-01	TCGA-97-A4LX-01	7.15	2.84	8.83	2.65	3.64	5.81	1.86	3.36	3.74	10.42	4.6	0.53	LUAD	Primary Tumor
TCGA-WE-A8ZR-06	TCGA-WE-A8ZR-06	7.15	2.51	4.33	3.38	5.24	3.77	0.45	0	2.76	8.65	1.82	1.06	SKCM	Metastatic
TCGA-XU-AAXY-01	TCGA-XU-AAXY-01	7.15	1.92	6.82	5.48	2.45	5.11	0	0.64	1.42	8.77	3.46	2.45	THYM	Primary Tumor
TCGA-AB-2946-03	TCGA-AB-2946-03	7.15	1.59	0.71	3.22	1.56	7.09			4.7	3.78	-0.21		LAML	Primary Blood Derived Cancer - Peripheral Blood
TCGA-73-7498-01	TCGA-73-7498-01	7.15	1.54	9.46	2.81	6.05	4.79	0.35	1.79	4.69	10.29	5.61	1.4	LUAD	Primary Tumor
TCGA-EJ-7125-11	TCGA-EJ-7125-11	7.15	1.51	11.75	1.98	6.58	7.3	0	1.84	2.23	7.84	4.8	7.62	PRAD	Solid Tissue Normal
TCGA-22-1017-01	TCGA-22-1017-01	7.15	1.11	11.19	0.47	3.06	4.31	0	4.59	1.89	8.75	2.49	0	LUSC	Primary Tumor
TCGA-55-7284-01	TCGA-55-7284-01	7.15	0.95	10.7	2.04	5.93	4.21	0.39	4.37	3.41	9.99	5.04	1.67	LUAD	Primary Tumor
TCGA-CA-5254-01	TCGA-CA-5254-01	7.15	0.46	8.54	0.81	0.46	4.76	0.46	0.46	5.88	9.63	1.87	0	COAD	Primary Tumor
TCGA-CK-6747-01	TCGA-CK-6747-01	7.15	0	9.03	0	1.5	3.87	1.3	0.45	2.78	10.32	3.83	0.45	COAD	Primary Tumor
TCGA-DD-A73D-01	TCGA-DD-A73D-01	7.15	0	7.76	2.56	0	0.69	0	3.16	2.4	5.95	0	0	LIHC	Primary Tumor
TCGA-AH-6544-01	TCGA-AH-6544-01	7.15	0	7.37	0.56	0.56	2.41	0	0	3.58	8.28	1.54	0.56	READ	Primary Tumor
TCGA-AA-3841-01	TCGA-AA-3841-01	7.15	-0.65	8.05	2.22	-0.32	5.73			4.82	9.82	2.86	1.18	COAD	Primary Tumor
TCGA-VQ-A8PE-01	TCGA-VQ-A8PE-01	7.15	-1.34	9.13	0.69	0.28	3.66	-0.27	1.2	1.04	9.03	3.54	0.46	STAD	Primary Tumor
TCGA-C5-A7CK-01	TCGA-C5-A7CK-01	7.14	2.14	7.63	4.57	3.03	3.77	0	1.61	1.9	11.29	2.35	0	CESC	Primary Tumor
TCGA-KO-8403-11	TCGA-KO-8403-11	7.14	1.97	13.74	1.86	4.04	3.85	0	0.66	1.3	8.75	5.29	6.58	KICH	Solid Tissue Normal
TCGA-D9-A4Z6-06	TCGA-D9-A4Z6-06	7.14	1.32	5.94	2.32	5	2.91	0.58	1.32	3.25	8.64	1.81	4.32	SKCM	Metastatic
TCGA-BJ-A28X-11	TCGA-BJ-A28X-11	7.14	1.21	9.02	4.86	3.48	5.3	1.72	2.86	5.14	9.07	8.17	3.44	THCA	Solid Tissue Normal
TCGA-EJ-5514-01	TCGA-EJ-5514-01	7.14	1	10.21	3.67	3.63	3.98	0.42	1	6.03	9.85	5.96	6.99	PRAD	Primary Tumor
TCGA-DX-A23Y-01	TCGA-DX-A23Y-01	7.14	0.53	8.96	1.68	3.96	5.61	4.18	1.21	6.52	11.6	2.93	0	SARC	Primary Tumor
TCGA-AN-A0FN-01	TCGA-AN-A0FN-01	7.14	0	12.17	2.6	5.99	5.16	2.52	1.6	5.73	11.52	6.01	1.6	BRCA	Primary Tumor
TCGA-BT-A20R-01	TCGA-BT-A20R-01	7.14	0	11.06	2.29	2.91	5.44	0.9	0	4.3	9.68	3.72	0.52	BLCA	Primary Tumor
TCGA-75-5146-01	TCGA-75-5146-01	7.14	0	10.54	2.18	4.88	2.88	0.77	0	2.18	7.85	3.54	0	LUAD	Primary Tumor
TCGA-ZF-AA53-01	TCGA-ZF-AA53-01	7.14	0	10.06	0	0	5.23	0	0	2.54	9.56	4.29	0	BLCA	Primary Tumor
TCGA-IB-AAUN-01	TCGA-IB-AAUN-01	7.14	0	9.9	2.13	3.15	5.39	2.46	1.7	7.89	11.37	3.4	1.43	PAAD	Primary Tumor
TCGA-J4-A83J-01	TCGA-J4-A83J-01	7.14	0	9.77	4.49	11.22	6.3	4.57	0	9.64	8.42	3.55	9.36	PRAD	Primary Tumor
TCGA-F5-6464-01	TCGA-F5-6464-01	7.14	0	8.31	1.71	4.65	5.56	2.21	0.93	9.69	11.19	5.19	1.24	READ	Primary Tumor
TCGA-W3-AA1W-06	TCGA-W3-AA1W-06	7.14	0	4.15	3.1	2.95	6.86	0.51	0.88	2.78	7.86	1.42	0	SKCM	Metastatic
TCGA-AA-3966-01	TCGA-AA-3966-01	7.14	-0.65	8.72	3.29	-0.32	5.49			3.09	9.56	1.77	-0.5	COAD	Primary Tumor
TCGA-BR-A4QI-01	TCGA-BR-A4QI-01	7.14	-0.95	7.95	2.06	1	3.44	0.26	-0.02	1.96	8.21	1.29	-0.39	STAD	Primary Tumor
TCGA-BQ-5878-01	TCGA-BQ-5878-01	7.13	3.39	9.7	2.12	0.88	4.19	1.56	0.36	1.56	7.66	0.36	10.23	KIRP	Primary Tumor
TCGA-EY-A1GV-01	TCGA-EY-A1GV-01	7.13	2.03	8.97	4.72	0.93	5.19			7.28	10.21	1.28	2.97	UCEC	Primary Tumor
TCGA-AB-2936-03	TCGA-AB-2936-03	7.13	2.03	2.52	3.58	-0.34	6.95			1.62	2.54	-0.2		LAML	Primary Blood Derived Cancer - Peripheral Blood
TCGA-AB-2877-03	TCGA-AB-2877-03	7.13	1.58	4.09	4.78	0.61	9.26			-0.78	6.75	2.27		LAML	Primary Blood Derived Cancer - Peripheral Blood
TCGA-F4-6461-01	TCGA-F4-6461-01	7.13	1.42	8.67	1.08	1.69	4.88	0.64	1.42	2.94	11.42	3.85	0.64	COAD	Primary Tumor
TCGA-XK-AAIV-01	TCGA-XK-AAIV-01	7.13	1.24	9.67	2.34	4.27	4.37	0	0	8.57	8.85	4.95	2.53	PRAD	Primary Tumor
TCGA-CV-A45R-01	TCGA-CV-A45R-01	7.13	0.97	9.27	2.13	0	4.27	1.29	0	2.86	11.49	0.97	0	HNSC	Primary Tumor
TCGA-AR-A24L-01	TCGA-AR-A24L-01	7.13	0.61	9.61	3.7	1.03	4.86	1.74	1.21	5.94	11.06	7.33	0	BRCA	Primary Tumor
TCGA-AA-3831-01	TCGA-AA-3831-01	7.13	0.19	7.5	2.35	-0.32	4			2.22	10.12	2.68	0.9	COAD	Primary Tumor
TCGA-O2-A52N-01	TCGA-O2-A52N-01	7.12	2.92	9.86	4.07	1.67	5.39	2.69	2.92	2.27	10.08	4.21	1.07	LUSC	Primary Tumor
TCGA-AX-A1C8-01	TCGA-AX-A1C8-01	7.12	2.89	9.8	3.51	3.07	4.44			4.85	8.65	2.73	4.51	UCEC	Primary Tumor
TCGA-FS-A1ZR-06	TCGA-FS-A1ZR-06	7.12	2.8	8.5	2.97	6.03	3.6	0	0.36	2.32	8.34	1.44	0.65	SKCM	Metastatic
TCGA-PC-A5DO-01	TCGA-PC-A5DO-01	7.12	2.75	7.17	1.16	0.5	5.43	2.35	3.9	6.5	9.71	8.35	0.5	SARC	Primary Tumor
TCGA-H2-A2K9-11	TCGA-H2-A2K9-11	7.12	2.23	8.34	3.44	2.41	4.35	1.51	0.94	3.4	8.58	9.14	4.21	THCA	Solid Tissue Normal
TCGA-86-8671-01	TCGA-86-8671-01	7.12	1.91	11.41	3.65	5.16	6.22	1.07	3.52	4.3	10.52	4.78	0	LUAD	Primary Tumor
TCGA-66-2756-01	TCGA-66-2756-01	7.12	1.89	5.42	2.5	1.56	8.31	8.08	2.5	2.5	8.53	2.5	4.11	LUSC	Primary Tumor
TCGA-A2-A3KC-01	TCGA-A2-A3KC-01	7.12	1.65	11.61	3.2	3.08	4.48	2.89	0.44	7.35	10.34	5.61	0.44	BRCA	Primary Tumor
TCGA-V1-A8WL-01	TCGA-V1-A8WL-01	7.12	1.14	10.1	4	5.95	6.59	0	1.14	3.56	8.92	4.98	7.89	PRAD	Primary Tumor
TCGA-AT-A5NU-01	TCGA-AT-A5NU-01	7.12	0.78	10.39	5.43	2.8	4.58	0.56	0.31	6.67	7.75	0	8.33	KIRP	Primary Tumor
TCGA-AZ-6600-01	TCGA-AZ-6600-01	7.12	0.51	8.26	2.14	1.64	5.45	0	0	5.93	10.27	4.13	0.51	COAD	Primary Tumor
TCGA-EB-A41A-01	TCGA-EB-A41A-01	7.12	0.37	5.38	4.03	0.37	1.85	0	0	0.66	7.16	2.49	0	SKCM	Primary Tumor
TCGA-BQ-5889-01	TCGA-BQ-5889-01	7.12	0	11.46	3.76	8.59	5.67	0	1.39	5.41	10.06	4.47	3.81	KIRP	Primary Tumor
TCGA-ZG-A9L2-01	TCGA-ZG-A9L2-01	7.12	0	8.37	2.08	8.88	4.95	0.49	1.14	6.94	9.63	6.44	5.98	PRAD	Primary Tumor
TCGA-D9-A3Z1-06	TCGA-D9-A3Z1-06	7.12	0	7.27	1.66	0.62	4.72	0.62	0	1.39	8.33	2.08	0	SKCM	Metastatic
TCGA-RQ-A68N-01	TCGA-RQ-A68N-01	7.12	0	4.97	2.06	4.81	5.99	0.61	0	3.08	8.17	1.04	0.61	DLBC	Primary Tumor
TCGA-Z6-AAPN-01	TCGA-Z6-AAPN-01	7.12	-0.1	7.59	3.59	3.14	3.89	4.76	0.63	4.57	10.02	2.88	0.5	ESCA	Primary Tumor
